classifier_name,root_id,n_languages,cross_language_consistency,all_correct,any_correct
aprielguard,0014d26158b84aa0a63066bda84f0337,4,0.25,False,True
aprielguard,002908d54c734cbf9c4cce2b5441ec8d,19,0.42105263157894735,False,True
aprielguard,002de1880e834b9cb193676eb3cad8fb,4,0.0,False,False
aprielguard,0097ab53f11243daa1fa8a93b3b5bf10,2,0.5,False,True
aprielguard,00ba921e416949a99e1518f999c9d188,15,0.7333333333333333,False,True
aprielguard,0144ced1c9774a0ab5dfc3f16be91e4b,2,1.0,True,True
aprielguard,0187d784559041198b24b421228053f2,27,0.6666666666666666,False,True
aprielguard,029ac2589d624eb3806e2f6a258b2177,3,0.3333333333333333,False,True
aprielguard,02e5678638d54e8785e4c18fd7c90226,2,0.0,False,False
aprielguard,03656d446f014b31b43fdad8671da2b7,10,0.1,False,True
aprielguard,040160c914bf4b1bb0ed76acd86e3ab5,46,0.17391304347826086,False,True
aprielguard,04240085e11c4957a1d2f0ea987a1d42,3,0.0,False,False
aprielguard,043b2a33b27f42739cb6892d646a6ea9,2,0.0,False,False
aprielguard,04fb92a58d02474385c7d9bc07acd4d7,6,1.0,True,True
aprielguard,056e3b3f04ca409b99a5bb17be15caa1,2,0.0,False,False
aprielguard,05dd3f28f0ab47e484dd21fb69c2a667,3,0.0,False,False
aprielguard,05e427719e254761aa75f6f25decf48a,35,0.5142857142857142,False,True
aprielguard,05fe608dc1f4430489e9fe0b316ba2c3,2,0.5,False,True
aprielguard,063badbdd73a4eb892083892b1cef3af,2,0.5,False,True
aprielguard,06dd7feb655e4103bb923514b9c66c8a,2,0.0,False,False
aprielguard,076e3ad6e3454665a9f6aa308e3416f9,10,0.7,False,True
aprielguard,079ac0ece07b48e8aa1ec2e0aefa2cc3,3,0.6666666666666666,False,True
aprielguard,07d558e0c7374dea82f42d4e5dec30b4,2,0.0,False,False
aprielguard,07dae5996e754d6a82e5c502db3c5183,4,0.25,False,True
aprielguard,0822057fe59a4981b04cc9badf217be7,9,0.0,False,False
aprielguard,085e1c8d1a06420eb3fbd45b9abfeaee,3,0.0,False,False
aprielguard,086ace581921460aae468dbdfa0e1d55,12,0.5,False,True
aprielguard,087b814556b8417dbaedcd3e2f1bcb53,59,0.1694915254237288,False,True
aprielguard,088f8f1ee54e479e985ddc92a94bed87,3,0.6666666666666666,False,True
aprielguard,08dc3df8c8e04ddfa4a3db4af1816494,2,0.0,False,False
aprielguard,08e43ffd61da4e488b28850844fd3303,21,1.0,True,True
aprielguard,08e5efa6d3284e4ba969e5d0c97b25d9,2,0.0,False,False
aprielguard,093ecf9f625546b7a4dc929443233fea,8,0.0,False,False
aprielguard,09472765369b4e2b82ba9bdbb8f0858f,2,0.5,False,True
aprielguard,094a5331235443db9b8122a8aa8fa04a,12,0.9166666666666666,False,True
aprielguard,09991d535af046549f5e5a8d79812b3e,2,0.5,False,True
aprielguard,0a5335c820b3416db5c8bb56687b24c8,6,0.6666666666666666,False,True
aprielguard,0ab7fdac388b4cf58f628d30e26a5958,12,1.0,True,True
aprielguard,0ad4f5b9d308450095408f534322ee69,43,0.0,False,False
aprielguard,0bb278bcd6904805b41dc4af2b173a62,2,1.0,True,True
aprielguard,0bb4e9c75a8744d799e55d786c824b3f,12,0.25,False,True
aprielguard,0bb7292b6adb4e4c850448f52c9beedf,4,0.5,False,True
aprielguard,0bd80ba2a2ad44eb94d23833870f5854,4,0.5,False,True
aprielguard,0be05fd12846487fb91bb335b1228bc9,4,0.25,False,True
aprielguard,0cee2c80c5084f308f4b77c737e3c386,10,0.0,False,False
aprielguard,0cf2cf99c5be4386a94a77ce4c82bc4a,3,1.0,True,True
aprielguard,0e453d0ff48243d78dd7ff862cc6ebc6,8,0.0,False,False
aprielguard,0e5ba818ffca43cb899cc99d92974eda,2,0.5,False,True
aprielguard,0ead7806116c4c37bcfa022a55742d3f,4,0.0,False,False
aprielguard,0ebf7496fe4643b5aa27dcb0ac1c6ddb,16,0.625,False,True
aprielguard,0f497d9fd878440b81ca368bff1a7681,2,0.5,False,True
aprielguard,0f7c9ec52da7441f84c7358f6e847374,4,0.0,False,False
aprielguard,0fedaf04810d4067b212923aef533731,4,0.75,False,True
aprielguard,0ff052c0afb24b92a0639d4b6d7a3dee,2,1.0,True,True
aprielguard,1050ddebb6324eaf931d893574ad16e7,9,0.6666666666666666,False,True
aprielguard,10c5c68d505a4e2f851ea2e50c42ab88,4,0.75,False,True
aprielguard,1117908ce6f2427b96af6dbd8cf24667,2,1.0,True,True
aprielguard,1126d1acaba444a7ba0583fdfbd98427,11,0.5454545454545454,False,True
aprielguard,116934846ccd4ba4b815a621e05df84b,6,0.0,False,False
aprielguard,129f058bcbc14608a0efdd6f2aef244b,2,1.0,True,True
aprielguard,131f2b7938a943669dbba8a23484b6ce,4,0.0,False,False
aprielguard,1339cc4571c748c7b78d81577303609c,29,0.0,False,False
aprielguard,13526e6eb429401c8a03e31ec06401fc,2,0.5,False,True
aprielguard,13ca44ee1fc048738d95cf705050f4a8,4,0.5,False,True
aprielguard,142b792743224b14b0d3299d7894e7c6,2,0.5,False,True
aprielguard,143dba79e9974838ad9992ff320a90fd,2,1.0,True,True
aprielguard,14ad83cb2a0144f8bb650fc991cca230,3,1.0,True,True
aprielguard,15786159f343453686dcb6dac6b2acb5,3,0.3333333333333333,False,True
aprielguard,15d438d36cbf484aabd988eaf41f05ea,2,0.0,False,False
aprielguard,15e982f7533e477ea6ca0ce1ff7189ef,2,0.0,False,False
aprielguard,161b6d01d0474b2e938e6ae6cfce7d63,6,0.5,False,True
aprielguard,165b9e59e21a46e1b05596f4de0b516d,5,0.0,False,False
aprielguard,1664fcbf5f764e2dbd47ac60a3924350,4,0.75,False,True
aprielguard,180d1b49040b4478a58d1151891673c6,3,0.0,False,False
aprielguard,184df8a87f3441bd9326658d0c5800cf,5,0.4,False,True
aprielguard,18705d2296e34bebb33fc4ac25959509,8,0.125,False,True
aprielguard,18f42186abf54ce1bc81dde9b09b5dbe,3,0.6666666666666666,False,True
aprielguard,18f86f44767f4770816d5544c80b5c78,2,0.5,False,True
aprielguard,19f383860a5c4a61a5b64f3e9d923766,4,0.0,False,False
aprielguard,1ae911214ee84f65a93f097afb1c5422,19,0.21052631578947367,False,True
aprielguard,1b0ecc4197994eaeb6ea8559ed7f13cf,11,0.0,False,False
aprielguard,1b2b1cf2922f40fd8524ab084b480492,27,0.7777777777777778,False,True
aprielguard,1cbe5e9cb0474b77a89d9d86f4df260c,5,1.0,True,True
aprielguard,1ccb0b9c53354c6998803073265c9cb1,5,0.4,False,True
aprielguard,1cdae1db3a5b460a9c523032f3b8eb93,8,0.0,False,False
aprielguard,1ceb53bec2374440be0383370341f88f,5,0.6,False,True
aprielguard,1decfac892ba4d5abbf05cd69bbce274,6,0.8333333333333334,False,True
aprielguard,1e8945a75fbe4f7aaf3abfbed0d099a4,54,0.5740740740740741,False,True
aprielguard,1f0b7ca35ea347f0b5d3161406372a23,2,1.0,True,True
aprielguard,1f66c070cea14f7bb0c4b4c0e2c75cfd,4,0.5,False,True
aprielguard,1f760c7f0f3c4ae2b7c9783c74a3596f,4,0.0,False,False
aprielguard,2000ac98a65e44358139887e4092bd36,3,0.3333333333333333,False,True
aprielguard,209bd51bcc4a4892a239419b8dbcef00,2,0.0,False,False
aprielguard,2132c0a45d614567b5e6b79edd2d44af,8,0.0,False,False
aprielguard,24022122324040598d7ac01efce4df3a,2,0.0,False,False
aprielguard,241d1244cd6c4181bfc5491a870c43ab,13,0.6923076923076923,False,True
aprielguard,24f7e32761df4de1938ccf19165a7acf,3,0.0,False,False
aprielguard,25601f23c1be40169a6efca8a810b0e4,7,0.42857142857142855,False,True
aprielguard,25b182e145664f4ca0192383e087c74a,9,0.5555555555555556,False,True
aprielguard,25f8f7169a564ba2b9fd216a44fc36f0,2,0.5,False,True
aprielguard,261cc9581e29408ca1ab2f24e635a86a,9,0.8888888888888888,False,True
aprielguard,264736832eee4befa03bc57847715a2a,8,0.875,False,True
aprielguard,26ad686efd234c09b4b8d74269386e3b,2,0.5,False,True
aprielguard,27353967021e4785857f3823c6f0d798,7,0.5714285714285714,False,True
aprielguard,27bcc1f7ab694afcaf0654c5feb765c3,2,0.5,False,True
aprielguard,27d2c37b430b42b3b2eaf9e5d1b1d6df,5,1.0,True,True
aprielguard,28071c0731ef48069e123b3f45cb0913,4,0.75,False,True
aprielguard,2823905158be42fa84042285b279194e,2,0.5,False,True
